Basic Scheme,"MATH135,MATH136,,MATH235,,ACTSC231,BU352,,BU398,,,,,,,MATH137,MATH138,,MATH237,,CO250,BU354,,BU362,,,,,,,CS115,CS116,,STAT230,,STAT231,BU383,,BU393,,,,,,,BU111,EC120,,BU227,,BU231,BU385,,BU395,,,,,,,BU121,EC140,,BU288,,BU247,MATH239,,STAT371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
ATAK Scheme,"MATH135,MATH136,EC250,BU227,,BU231,BU352,,BU362,BU481,,BU458,ENGL210F,STAT435,STAT443,MATH137,MATH138,,BU288,,BU247,BU354,,BU393,CO370,,BU479,,BU452,CS432,BU111,BU121,,STAT230,,CO250,BU385,,BU395,CS330,,CS338,,CS430,BU491,EC120,EC140,,MATH235,,STAT231,BU383,,BU398,STAT372,,CO480,,BU488,REC280,CS115,CS116,,MATH237,,ACTSC231,MATH239,,STAT371,BU451,,ACTSC232,,EC238,SPAN101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Accounting (Basic),"MATH135,MATH136,EC250,MATH235,,ACTSC231,BU354,,BU398,BU357,,BU487,,MATH239,BU447,MATH137,MATH138,,MATH237,,STAT371,BU383,,BU395,BU481,,BU491,,CO370,BU417,CS115,CS116,,STAT231,,CO250,BU385,,BU393,BU477,,BU466,,BU457,BU497F,BU111,BU121,,BU227,,BU247,BU352,,BU362,BU486,,BU467,,CS430,STAT443,EC120,EC140,,BU288,,BU231,CS330,,BU397,STAT372,,CO480,,STAT435,CS432,,STAT230,,,,,BU387,,CS338,,,,,STAT340,,,,,,,,,,,,,,,,"
Accounting (Advanced),"MATH135,MATH136,EC250,MATH235,,ACTSC231,BU354,,BU398,BU357,,BU487,,ACTSC446,BU447,MATH137,MATH138,,MATH237,,STAT231,BU383,,BU395,BU481,,BU466,,STAT443,BU417,CS115,CS116,,STAT230,,CO250,BU385,,BU393,BU477,,BU467,,BU457,BU497F,BU111,BU121,,BU227,,BU247,BU352,,BU362,BU486,,MATH239,,BU473,STAT340,EC120,EC140,,BU288,,BU231,BU387,,STAT333,CO370,,STAT330,,BU491,ACTSC445,,,,,,CS330,STAT371,,BU397,STAT372,,CO480,,STAT435,ACTSC232,,,,,,,,,,,,,,,"
Finance (Basic),"MATH135,MATH136,EC250,BU227,,BU247,BU352,,BU362,BU481,,BU473,ENGL210F,BU443,BU491,MATH137,MATH138,,BU288,,BU231,BU354,,BU393,CO370,,BU423,,BU403,SPAN101,CS115,CS116,,MATH235,,CO250,BU383,,BU395,CS335,,CS330,,MATBUS472,ACTSC445,BU111,BU121,,MATH237,,STAT231,BU385,,BU398,STAT372,,STAT334,,STAT435,REC280,EC120,EC140,,STAT230,,ACTSC231,MATH239,,STAT371,BU451,,CO480,,PSYCH101,STAT443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Finance (Intermediate),"MATH135,MATH136,EC250,BU227,,BU247,BU352,BU387,BU362,BU481,BU397,BU473,,BU403,BU491,MATH137,MATH138,,BU288,,BU231,BU354,,BU393,CO370,,BU443,,STAT340,SPAN101,CS115,CS116,,MATH235,,CO250,BU383,,BU395,CS335,,CS330,,STAT435,ACTSC445,BU111,BU121,,MATH237,,STAT231,BU385,,BU398,STAT372,,STAT443,,ACTSC446,MATH239,EC120,EC140,,STAT230,,ACTSC231,STAT330,,STAT371,BU451,,STAT333,,MATBUS472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Finance (Advanced),"MATH145,MATH146,EC250,BU227,,BU247,BU352,BU387,BU362,BU481,CO372,BU397,ACTSC445,BU491,,MATH147,MATH148,,BU288,,BU231,BU354,,BU393,CO370,BU443,,BU473,STAT435,,CS115,CS116,,MATH245,,CO250,BU383,,BU395,CS330,STAT340,,MATBUS471,PMATH451,,BU111,BU121,,MATH247,,STAT231,BU385,,BU398,STAT372,STAT333,,ACTSC446,CM271,,EC120,EC140,,STAT230,,ACTSC231,STAT330,,STAT371,AMATH250,PMATH354,,STAT443,BU403,,,,,,,PMATH351,,,,MATH239,,,,,,,,,,,,,,,,,,,,"
Actuarial Science (Basic),"MATH135,MATH136,EC250,BU227,,BU247,BU352,,BU362,CO370,,BU423,,BU419,ACTSC445,MATH137,MATH138,,BU288,,BU231,BU354,,BU393,BU481,,BU473,,BU429,BU491,CS115,CS116,,MATH235,,CO250,BU383,,BU395,STAT330,,BU353,,STAT443,ACTSC432,BU111,BU121,,MATH237,,STAT231,BU385,,BU398,STAT333,,STAT340,,ACTSC433,MATH239,EC120,EC140,,STAT230,,ACTSC231,ACTSC232,,STAT371,STAT372,,ACTSC431,,ACTSC462,CS330,,,,,,,,,,,,ACTSC331,,,,,,,,,,,,,,,,,,"
Actuarial Science (Advanced),"MATH135,MATH136,EC250,BU227,,BU247,BU352,BU387,BU362,CO370,BU397,BU473,,BU443,ACTSC445,MATH137,MATH138,,BU288,,BU231,BU354,,BU393,BU481,,BU353,,CS330,BU491,CS115,CS116,,MATH235,,CO250,BU383,,BU395,STAT333,,STAT340,,STAT443,MATH239,BU111,BU121,,MATH237,,STAT231,BU385,,BU398,STAT372,,ACTSC432,,ACTSC446,ACTSC331,EC120,EC140,,STAT230,,ACTSC231,STAT330,,STAT371,STAT431,,ACTSC431,,ACTSC232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
